City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Shambu,ET,50.07,scattered clouds,9.5667,37.1,Wabe Hotel
311,Port Lincoln,AU,59.63,clear sky,-34.7333,135.8667,Port Lincoln Hotel
312,Tahoua,NE,72.37,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
313,Harper,LR,77.81,light rain,4.375,-7.7169,Screensaver
314,Shingu,JP,54.28,scattered clouds,33.7333,135.9833,Shingu UI Hotel
317,Maldonado,UY,72.79,clear sky,-34.6667,-54.9167,La Cimarrona
318,Lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,Port Blair,IN,77.31,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
322,Melfi,IT,55.96,overcast clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
325,San Felipe,VE,73.42,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
326,Kamina,CD,61.38,overcast clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
327,Farsund,NO,46.06,light rain,58.0948,6.8047,Farsund Fjordhotel
328,Mildura,AU,61.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
330,Winnemucca,US,46.45,clear sky,40.973,-117.7357,Winners Inn Casino
332,Ucluelet,CA,52.09,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
338,Isiro,CD,67.32,light rain,2.7739,27.616,Guest House Hewa Bora
340,Mount Gambier,AU,57.42,scattered clouds,-37.8333,140.7667,The Commodore
341,Dumai,ID,72.64,light rain,1.6833,101.45,Grand Zuri Dumai
342,Shima,CN,71.62,clear sky,24.4478,117.8111,龙海钻石大酒店
343,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
344,Kampene,CD,66.63,scattered clouds,-3.6,26.6667,
346,Danjiangkou,CN,51.08,few clouds,32.5428,111.5086,Dongsheng Guesthouse
347,Baran,IN,62.22,clear sky,25.1,76.5167,Hotel shree ji
348,Lagoa,PT,62.78,scattered clouds,39.05,-27.9833,Casa Das Faias
351,Valparaiso,CL,73.63,clear sky,-33.0393,-71.6273,Hotel Ultramar
352,Gouyave,GD,75.97,shower rain,12.1646,-61.7296,Rumboat Retreat
353,Mumbwa,ZM,66.56,clear sky,-14.9783,27.0619,Mumbwa Motel
354,Gambela,ET,72.82,few clouds,8.25,34.5833,Solomon Debebe Hotel
355,Puerto Ayacucho,VE,79.52,light rain,5.6639,-67.6236,Posada Turistica Manapiare
357,Geraldton,AU,63.01,drizzle,-28.7667,114.6,Broadwater Mariner Resort
358,Yadgir,IN,62.83,few clouds,16.7667,77.1333,HOTEL SLV
360,Avera,US,51.85,overcast clouds,33.194,-82.5271,
361,Richards Bay,ZA,71.17,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
364,Teluk Nibung,ID,75.42,light rain,3.001,99.8164,Hotel Assyifa
365,Sambava,MG,71.2,scattered clouds,-14.2667,50.1667,Melrose
366,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
367,Grindavik,IS,48.15,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
368,Khani,GE,44.17,overcast clouds,41.9563,42.9566,Guest House Kakasxidi სასტუმრო კაკასხიდი
369,Achacachi,BO,47.68,scattered clouds,-16.05,-68.6833,HOSTAL KANSAS CITY
371,Watsa,CD,64.62,light rain,3.0372,29.5355,Hôtel Le Pacifique
372,Tabuk,PH,73.08,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
373,Sistranda,NO,40.96,clear sky,63.7256,8.834,Hotell Frøya
374,Ponta Delgada,PT,65.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
377,Yangambi,CD,67.55,light rain,0.8102,24.4336,
378,Mahon,ES,64.96,clear sky,39.8885,4.2658,ARTIEM Capri
379,Grenaa,DK,44.82,scattered clouds,56.4158,10.8783,Hotel Marina
380,Manhush,UA,42.53,overcast clouds,47.0558,37.3107,
381,Batemans Bay,AU,57.09,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
383,Micheweni,TZ,77.99,light rain,-4.9667,39.8333,
385,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
386,Awjilah,LY,62.73,clear sky,29.1081,21.2869,
387,Hampton,US,54.0,broken clouds,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
389,Rocha,UY,61.47,few clouds,-34.4833,-54.3333,Hotel Arrarte
390,Tiznit,MA,64.47,broken clouds,29.5833,-9.5,
391,Inhambane,MZ,73.0,clear sky,-23.865,35.3833,Oceano
392,Umm Kaddadah,SD,68.97,clear sky,13.6017,26.6876,
393,Caravelas,BR,74.77,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
394,Forestville,US,45.55,scattered clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
395,Portland,US,55.89,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
396,Fuerte Olimpo,PY,75.09,clear sky,-21.0415,-57.8738,Hospedaje DAMI
397,Brae,GB,48.11,overcast clouds,60.3964,-1.353,Busta House Hotel
399,Maragogi,BR,77.02,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
400,Trairi,BR,78.96,clear sky,-3.2778,-39.2689,janelas do mar
402,Lucapa,AO,63.63,overcast clouds,-8.4192,20.7447,Lírio Mendes
404,Marawi,PH,70.16,overcast clouds,7.9986,124.2928,Derogongan Residence
406,Tessalit,ML,70.57,scattered clouds,20.1986,1.0114,
408,Ponferrada,ES,56.46,overcast clouds,42.5466,-6.5962,Hotel Temple Ponferrada
409,Hambantota,LK,76.62,overcast clouds,6.1241,81.1185,Bungalow 63
410,Golden,US,42.1,few clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
412,Tshela,CD,70.09,overcast clouds,-4.9833,12.9333,Hotel Mirador
414,Kutum,SD,62.53,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
415,Susangerd,IR,73.74,overcast clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
417,Mecca,SA,77.95,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
418,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
422,Santa Rosa De Cabal,CO,71.22,broken clouds,4.8681,-75.6214,Hotel Suite Santa Rosa
424,Soyo,AO,76.59,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
425,Nabire,ID,77.81,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
426,Quang Ngai,VN,73.96,clear sky,15.1167,108.8,Central Hotel
428,Kabanjahe,ID,62.33,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
429,Viedma,AR,61.66,scattered clouds,-40.8135,-62.9967,Hotel Cristal
430,Da Lat,VN,59.14,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
431,Nelson Bay,AU,64.99,light rain,-32.7167,152.15,Mantra Nelson Bay
434,Lukulu,ZM,66.06,broken clouds,-14.3707,23.242,Ruth Guest House
435,Novaya Maka,RU,47.93,overcast clouds,41.7717,48.3615,
436,Kucevo,RS,55.92,overcast clouds,44.4775,21.67,Хотел „Рудник“
437,Birao,CF,70.74,overcast clouds,10.2849,22.7882,
438,Bandarbeyla,SO,78.01,few clouds,9.4942,50.8122,JABIR HOTEL
439,Barkly West,ZA,70.03,few clouds,-28.5354,24.5215,Stafford Parker Guest House
440,Pauini,BR,78.08,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
445,Mangai,CD,68.5,overcast clouds,-4.05,19.5333,
447,Mumford,GH,79.11,broken clouds,5.2618,-0.759,Peace Guest House
449,Kinsale,IE,42.17,fog,51.7075,-8.5306,
451,Ananas,HT,73.38,light rain,19.2466,-71.9557,
455,Lasa,IT,41.88,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
456,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
457,Matara,LK,74.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
458,Tanabe,JP,55.11,broken clouds,33.7333,135.3667,美吉屋旅館
460,Massaguet,TD,76.32,scattered clouds,12.4755,15.4365,Alwatane
461,Fare,PF,78.98,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
463,Tshikapa,CD,68.47,overcast clouds,-6.4167,20.8,Tatem beach
464,Challans,FR,58.12,overcast clouds,46.8436,-1.8749,Citotel Le Challans
