City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Kotido,UG,2.9806,34.1331,70.95,61,79,6.06,broken clouds
259,Sept-Iles,CA,50.2001,-66.3821,27.12,75,100,10.36,overcast clouds
260,Floro,NO,61.5996,5.0328,51.96,37,0,32.21,clear sky
261,Sovetskiy,RU,61.3614,63.5842,-6.63,95,18,1.97,few clouds
262,Coihaique,CL,-45.5752,-72.0662,60.75,51,40,3.44,scattered clouds
263,Howard Springs,AU,-12.497,131.047,85.82,98,94,2.75,overcast clouds
264,Makakilo City,US,21.3469,-158.0858,82.72,54,75,18.41,broken clouds
265,Labuhan,ID,-6.8844,112.2051,79.75,84,100,5.28,overcast clouds
266,Mayo,US,38.8876,-76.5119,47.1,61,0,14.97,clear sky
267,Klaksvik,FO,62.2266,-6.589,50.92,88,70,33.33,light rain
268,Amapa,BR,1.0,-52.0,75.78,63,91,3.47,overcast clouds
269,Le Port,RE,-20.9373,55.2919,70.25,66,26,1.36,scattered clouds
270,Yulara,AU,-25.2406,130.9889,71.24,49,15,18.9,few clouds
271,Sitrah,BH,26.1547,50.6206,80.6,74,0,4.61,clear sky
272,Mahanje,TZ,-9.9333,35.3333,66.47,66,29,2.84,scattered clouds
273,Gimli,CA,50.6336,-96.9907,17.62,86,100,6.91,overcast clouds
274,Krasnoyarka,RU,55.3333,73.1167,8.55,94,100,8.5,overcast clouds
275,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,86,100,8.05,overcast clouds
276,Kankon,IN,15.0167,74.0167,74.62,52,0,5.46,light rain
277,Nhulunbuy,AU,-12.2333,136.7667,86.61,79,98,5.75,overcast clouds
278,Victor Harbor,AU,-35.5667,138.6167,58.68,71,1,11.23,clear sky
279,Shuyskoye,RU,59.3736,41.0305,26.98,89,100,2.66,overcast clouds
280,Valleyview,CA,55.0667,-117.2859,17.64,73,8,13.8,clear sky
281,Olinda,BR,-8.0089,-34.8553,80.33,69,20,6.91,few clouds
282,Faya,SA,18.3851,42.4509,55.51,66,0,2.21,clear sky
283,Artyom,AZ,40.4723,50.333,53.74,85,99,20.87,overcast clouds
284,Rognan,NO,67.0953,15.3878,44.74,36,63,10.51,broken clouds
285,Ulaangom,MN,49.9811,92.0667,16.07,89,98,3.29,overcast clouds
286,Gizo,SB,-8.103,156.8419,84.4,66,91,6.06,overcast clouds
287,Horsham,GB,51.064,-0.3272,55.63,93,75,9.22,moderate rain
288,Marsh Harbour,BS,26.5412,-77.0636,79.34,74,54,5.68,broken clouds
289,Cockburn Town,TC,21.4612,-71.1419,82.13,75,5,16.84,clear sky
290,Praia,CV,14.9215,-23.5087,77.54,65,20,5.75,few clouds
291,Arman,RU,59.7,150.1667,-8.99,92,97,8.63,overcast clouds
292,Sabana Grande De Boya,DO,18.945,-69.7933,77.25,95,10,3.69,clear sky
293,Sergeyevka,KZ,53.88,67.4158,7.66,88,100,7.31,overcast clouds
294,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,87,100,20.71,overcast clouds
295,Salamiyah,SY,35.0113,37.0532,56.17,80,47,2.98,scattered clouds
296,Poplar Bluff,US,36.757,-90.3929,42.58,50,75,11.5,broken clouds
297,Nianzishan,CN,47.5167,122.8833,20.86,84,49,4.97,scattered clouds
298,Seoul,KR,37.5683,126.9778,44.04,90,20,2.3,few clouds
299,Riyadh,SA,24.6877,46.7219,73.54,29,7,10.29,clear sky
300,Pucallpa,PE,-8.3791,-74.5539,75.24,94,75,5.75,broken clouds
301,Aksu,CN,41.1231,80.2644,38.3,42,99,7.54,overcast clouds
302,Saldanha,ZA,-33.0117,17.9442,57.25,76,65,17.11,broken clouds
303,Protivin,CZ,49.1995,14.2172,43.9,84,93,2.44,overcast clouds
304,Kirakira,SB,-10.4544,161.9205,83.98,75,62,5.26,broken clouds
305,Vulcan,RO,45.3833,23.2667,45.19,92,100,2.82,overcast clouds
306,Walvis Bay,NA,-22.9575,14.5053,60.1,88,0,6.91,clear sky
307,Nikolskoye,RU,59.7035,30.7861,31.91,86,100,5.5,overcast clouds
308,Camacha,PT,33.0833,-16.3333,67.42,88,75,10.36,light intensity drizzle
309,Shambu,ET,9.5667,37.1,50.07,80,37,2.19,scattered clouds
310,Evensk,RU,61.95,159.2333,1.09,91,98,6.91,overcast clouds
311,Port Lincoln,AU,-34.7333,135.8667,59.63,65,5,17.83,clear sky
312,Tahoua,NE,14.8888,5.2692,72.37,16,30,9.4,scattered clouds
313,Harper,LR,4.375,-7.7169,77.81,84,9,6.49,light rain
314,Shingu,JP,33.7333,135.9833,54.28,70,49,5.14,scattered clouds
315,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.19,28,0,4.99,clear sky
316,Hamilton,US,39.1834,-84.5333,36.23,80,75,9.22,broken clouds
317,Maldonado,UY,-34.6667,-54.9167,72.79,70,8,3.58,clear sky
318,Lompoc,US,34.6391,-120.4579,72.79,24,0,9.22,clear sky
319,Khandyga,RU,62.6667,135.6,-45.44,100,55,2.68,broken clouds
320,Pyshma,RU,56.9523,63.2513,-0.56,98,96,2.84,overcast clouds
321,Port Blair,IN,11.6667,92.75,77.31,86,99,5.28,overcast clouds
322,Melfi,IT,40.9965,15.6514,55.96,89,100,7.47,overcast clouds
323,Alpena,US,45.0617,-83.4327,30.45,91,100,8.05,overcast clouds
324,Nanortalik,GL,60.1432,-45.2371,20.34,75,50,21.9,scattered clouds
325,San Felipe,VE,10.3399,-68.7425,73.42,99,100,3.0,overcast clouds
326,Kamina,CD,-8.7386,24.9906,61.38,98,91,3.76,overcast clouds
327,Farsund,NO,58.0948,6.8047,46.06,100,100,34.07,light rain
328,Mildura,AU,-34.2,142.15,61.07,55,0,10.13,clear sky
329,Rio Branco,BR,-9.9747,-67.81,83.01,78,40,5.75,thunderstorm
330,Winnemucca,US,40.973,-117.7357,46.45,29,0,3.44,clear sky
331,Irtyshskiy,RU,58.3333,68.1333,-10.14,98,18,3.44,few clouds
332,Ucluelet,CA,48.9329,-125.5528,52.09,76,21,1.23,few clouds
333,Kamenka,RU,51.3223,42.7678,31.32,99,100,3.65,light snow
334,Bagdarin,RU,54.4333,113.6,13.78,91,52,3.6,broken clouds
335,Alugan,PH,12.2188,125.4808,80.2,87,75,10.07,broken clouds
336,Bozuyuk,TR,39.9078,30.0367,35.89,56,16,6.8,few clouds
337,Kosh-Agach,RU,50.0,88.6667,22.12,48,100,30.29,overcast clouds
338,Isiro,CD,2.7739,27.616,67.32,96,100,0.45,light rain
339,Kargil,IN,34.5667,76.1,10.4,92,92,2.42,overcast clouds
340,Mount Gambier,AU,-37.8333,140.7667,57.42,58,49,4.16,scattered clouds
341,Dumai,ID,1.6833,101.45,72.64,95,100,3.09,light rain
342,Shima,CN,24.4478,117.8111,71.62,88,9,1.45,clear sky
343,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,17.69,light rain
344,Kampene,CD,-3.6,26.6667,66.63,90,27,0.87,scattered clouds
